,Unnamed: 0,English,German_Singular,German_Plural,IPA
425,425,East,Der Osten,-,dɛːr ɔstn̩
426,426,Agent,Der Agent,Die Agenten,dɛːr aːɡɛnt
427,427,Future,Die Zukunft,Die Zukunft,diː t͡suːkʊnft
428,428,Pant,Die Hose,Die Hosen,diː hoːzə
429,429,Leather,Das Leder,-,daːs lɛːdɐ
430,430,Flight,Der Flug,Die Flüge,dɛːr flʊk
431,431,Sex,Der Sex,-,dɛːr zɛks
432,432,Court,Das Gericht,Die Gerichte,daːs ɡɛːrɪçt
433,433,Course,Der Kurs,Die Kurse,dɛːr kuːɐ̯s
434,434,Dirt,Der Schmutz,-,dɛːr ʃmʊt͡s
435,435,Egg,Das Ei,Die Eier,daːs aɪ̯
436,436,Chin,Das Kinn,Die Kinne,daːs kɪn
437,437,Stranger,Der Fremde,Die Fremden,dɛːr frɛmdə
438,438,Pleasure,Das Vergnügen,Die Vergnügen,daːs fɛːrnjyɡn̩
439,439,Detail,Das Detail,Die Details,daːs dɛːtaɪ̯l
440,440,Crew,Die Besatzung,Die Besatzungen,diː bɛːzaːt͡sʊŋk
441,441,Fall,Der Herbst,Die Fälle,dɛːr hɛːrbst
442,442,Guest,Der Gast,Die Gäste,dɛːr ɡast
443,443,Experience,Die Erfahrung,Die Erfahrungen,diː ɛːrfaːrʊŋk
444,444,Joke,Der Witz,Die Witze,dɛːr viːt͡s
445,445,Sand,Der Sand,-,dɛːr zant
446,446,Fist,Die Faust,Die Fäuste,diː faʊ̯st
447,447,Action,Die Aktion,Die Aktionen,diː aktiːoːn
448,448,Walk,Der Spaziergang,Die Spaziergänge,dɛːr spaːt͡siːrɡaŋk
449,449,Wedding,Die Hochzeit,Die Hochzeiten,diː hɔxt͡saɪ̯t
450,450,Deal,Das Geschäft,Die Geschäfte,daːs ɡɛʃɛft
451,451,Nature,Die Natur,-,diː naːtuːɐ̯
452,452,Planet,Der Planet,Die Planeten,dɛːr plaːnɛːt
453,453,Cousin,Der Cousin,Die Cousins,dɛːr kuːziːn
454,454,Movement,Die Bewegung,Die Bewegungen,diː bjuːɛɡŋk
455,455,Flesh,Das Fleisch,-,daːs flaɪ̯ʃ
456,456,Record,Der Rekord,Die Rekorde,dɛːr rɛːkoːɐ̯t
457,457,Camp,Das Lager,Die Lager,daːs laːɡɐ
458,458,Newspaper,Die Zeitung,Die Zeitungen,diː t͡saɪ̯tʊŋk
459,459,Ray,Der Strahl,Die Strahlen,dɛːr straːl
460,460,Human,Der Mensch,Die Menschen,dɛːr mɛnʃ
461,461,Couch,Die Couch,Die Couches,diː kuːx
462,462,Motion,Die Bewegung,Die Bewegungen,diː bjuːɛɡŋk
463,463,Grandfather,Der Großvater,Die Großväter,dɛːr ɡroːsfaːtɐ
464,464,Photograph,Das Foto,Die Fotos,daːs foːtoː
465,465,Secret,Das Geheimnis,Die Geheimnisse,daːs ɡeːaɪ̯mniːs
466,466,Beauty,Die Schönheit,Die Schönheiten,diː ʃøːnhaɪ̯t
467,467,Presence,Die Anwesenheit,-,diː anvɛːzɛːnhaɪ̯t
468,468,Bell,Die Glocke,Die Glocken,diː ɡloːkə
469,469,Folk,Das Volk,-,daːs fɔlk
470,470,Button,Der Knopf,Die Knöpfe,dɛːr knɔp͡f
471,471,List,Die Liste,Die Listen,diː lɪstə
472,472,Level,Das Level,Die Level,daːs lɛːfɛːl
473,473,Date,Das Datum,Die Daten,daːs daːtʊm
474,474,Subject,Das Fach,Die Fächer,daːs fax
475,475,Difference,Der Unterschied,Die Unterschiede,dɛːr ʊntɛːrʃiːt
476,476,Pause,Die Pause,Die Pausen,diː paʊ̯zə
477,477,Van,Der Lieferwagen,Die Lieferwagen,dɛːr liːfɛːrvaɡn̩
478,478,Blade,Die Klinge,Die Klingen,diː klɪŋə
479,479,Television,Das Fernsehen,Die Fernseher,daːs fɛːrnzeːən
480,480,Cover,Die Abdeckung,Die Abdeckungen,diː abdɛːkʊŋk
481,481,Past,Die Vergangenheit,-,diː fɛːrɡaŋɛːnhaɪ̯t
482,482,Farm,Die Farm,Die Farmen,diː faːɐ̯m
483,483,Lap,Der Schoß,Die Schoß,dɛːr ʃoːs
484,484,Band,Die Band,Die Bands,diː bant
485,485,Lawyer,Der Anwalt,Die Anwälte,dɛːr anvalt
486,486,Magazine,Das Magazin,Die Magazine,daːs maːɡaːt͡siːn
487,487,Branch,Der Ast,Die Äste,dɛːr ast
488,488,Frame,Der Rahmen,Die Rahmen,dɛːr ramn̩
489,489,Deck,Das Deck,Die Decks,daːs dɛːk
490,490,Effect,Die Wirkung,Die Wirkungen,diː viːrkʊŋk
491,491,Dance,Der Tanz,Die Tänze,dɛːr taːns
492,492,Vision,Die Vision,Die Visionen,diː fiːziːoːn
493,493,Ghost,Das Geist,Die Geister,daːs ɡaɪ̯st
494,494,Ass,Der Hintern,Die Hintern,dɛːr hɪntɛːɐ̯n
495,495,Character,Der Charakter,Die Charaktere,dɛːr xaːraktɐ
496,496,Glance,Der Blick,Die Blicke,dɛːr bliːk
497,497,Goodbye,Der Abschied,-,dɛːr abʃiːt
498,498,Parking,Das Parken,-,daːs paːrkən
499,499,Breakfast,Das Frühstück,Die Frühstücke,daːs frystyːk
500,500,Gesture,Die Geste,Die Gesten,diː ɡɛstə
501,501,Luck,Das Glück,-,daːs ɡlyːk
502,502,Blanket,Die Decke,Die Decken,diː dɛːkə
503,503,Gas,Das Gas,-,daːs ɡaːs
504,504,Corridor,Der Korridor,Die Korridore,dɛːr kɔriːdoːɐ̯
505,505,Professor,Der Professor,Die Professoren,dɛːr proːfɛzoːɐ̯
506,506,Play,Das Stück,Die Stücke,daːs styːk
507,507,Mistake,Der Fehler,Die Fehler,dɛːr feːlɐ
508,508,University,Die Universität,Die Universitäten,diː uːniːfrziːtɛt
509,509,Ocean,Der Ozean,Die Ozeane,dɛːr oːt͡sɛːaːn
510,510,Century,Das Jahrhundert,Die Jahrhunderte,daːs jaːrhʊndɛːɐ̯t
511,511,Honey,Der Honig,-,dɛːr hoːnɪç
512,512,Pile,Der Stapel,Die Stapel,dɛːr stapl̩
513,513,Bowl,Die Schüssel,Die Schüsseln,diː ʃʏzɛːl
514,514,Base,Die Basis,Die Basen,diː baːziːs
515,515,Fence,Der Zaun,Die Zäune,dɛːr t͡saʊ̯n
516,516,Rule,Die Regel,Die Regeln,diː rɛɡl̩
517,517,Laughter,Das Lachen,-,daːs laxn̩
518,518,Anger,Der Ärger,-,dɛːr ɛːrɡɐ
519,519,Sweat,Der Schweiß,-,dɛːr ʃvaɪ̯s
520,520,Accident,Der Unfall,Die Unfälle,dɛːr ʊnfal
521,521,Weather,Das Wetter,-,daːs vɛtɐ
522,522,Decision,Die Entscheidung,Die Entscheidungen,diː ɛntʃaɪ̯dʊŋk
523,523,Angel,Der Engel,Die Engel,dɛːr ɛŋl̩
524,524,Strength,Die Stärke,Die Stärken,diː stɛːrkə
525,525,Chicken,Das Huhn,Die Hühner,daːs huːhn
526,526,Study,Das Studium,Die Studien,daːs stuːdiːʊm
527,527,Tape,Das Band,Die Bänder,daːs bant
528,528,Wrist,Das Handgelenk,Die Handgelenke,daːs handɡɛːlɛŋk
529,529,Stop,Der Halt,Die Halte,dɛːr halt
530,530,Hip,Die Hüfte,Die Hüften,diː hʏftə
531,531,Government,Die Regierung,Die Regierungen,diː rɛːɡiːrʊŋk
532,532,Belly,Der Bauch,Die Bäuche,dɛːr baʊ̯x
533,533,Queen,Die Königin,Die Königinnen,diː køːniːɡiːn
534,534,Report,Der Bericht,Die Berichte,dɛːr bɛːrɪçt
535,535,Tail,Der Schwanz,Die Schwänze,dɛːr ʃvaːns
536,536,Plant,Die Pflanze,Die Pflanzen,diː p͡flaːnt͡sə
537,537,Flame,Die Flamme,Die Flammen,diː flamə
538,538,Heaven,Der Himmel,Die Himmel,dɛːr hɪml̩
539,539,Belt,Der Gürtel,Die Gürtel,dɛːr ɡ̈rtəl
540,540,Neighborhood,Die Nachbarschaft,Die Nachbarschaften,diː naxbaːrʃaft
541,541,Energy,Die Energie,-,diː ɛːnɛːrɡiː
542,542,Green,Das Grün,-,daːs ɡryːn
543,543,Quarter,Das Viertel,Die Viertel,daːs fiːrtəl
544,544,Enemy,Der Feind,Die Feinde,dɛːr faɪ̯nt
545,545,Move,Der Zug,Die Züge,dɛːr t͡sʊk
546,546,Entrance,Der Eingang,Die Eingänge,dɛːr aɪ̯ŋaŋk
547,547,Library,Die Bibliothek,Die Bibliotheken,diː bɪbliːoːtɛːk
548,548,Writer,Der Schriftsteller,Die Schriftsteller,dɛːr ʃrɪftstɛlɐ
549,549,Peace,Der Frieden,-,dɛːr fridn̩
550,550,Touch,Die Berührung,Die Berührungen,diː bɛːryːrʊŋk
551,551,Pot,Der Topf,Die Töpfe,dɛːr tɔp͡f
552,552,Type,Die Art,-,diː aːɐ̯t
553,553,Cause,Die Ursache,Die Ursachen,diː uːrzaxə
554,554,Rope,Das Seil,Die Seile,daːs zaɪ̯l
555,555,Muscle,Der Muskel,Die Muskeln,dɛːr mʊskl̩
556,556,Painting,Das Gemälde,Die Gemälde,daːs ɡɛːmɛldə
557,557,Curtain,Der Vorhang,Die Vorhänge,dɛːr foːrhaŋk
558,558,Meal,Die Mahlzeit,Die Mahlzeiten,diː maːlt͡saɪ̯t
559,559,Act,Der Akt,Die Akte,dɛːr akt
560,560,Wolf,Der Wolf,Die Wölfe,dɛːr vɔlf
561,561,Cabin,Die Kabine,Die Kabinen,diː kaːbiːnə
562,562,Charge,Die Gebühr,Die Gebühren,diː ɡɛːbyːɐ̯
563,563,Clock,Die Uhr,Die Uhren,diː uːhr
564,564,Passenger,Der Passagier,Die Passagiere,dɛːr pazaːɡiːɐ̯
565,565,Buddy,Der Kumpel,Die Kumpel,dɛːr kʊmpl̩
566,566,Drug,Das Medikament,Die Medikamente,daːs mɛːdiːkaːmɛnt
567,567,Use,Die Verwendung,Die Verwendungen,diː fɛːrvɛndʊŋk
568,568,Bench,Die Bank,Die Bänke,diː baŋk
569,569,Traffic,Der Verkehr,-,dɛːr fɛːrkeːɐ̯
570,570,Relief,Die Erleichterung,-,diː ɛːrlaɪ̯çtɛːrʊŋk
571,571,Cap,Die Mütze,Die Mützen,diː myːt͡sə
572,572,Pack,Das Pack,Die Packs,daːs paːk
573,573,Weekend,Das Wochenende,Die Wochenenden,daːs vɔxɛːnɛndə
574,574,Stand,Der Stand,Die Stände,dɛːr stant
575,575,Elevator,Der Aufzug,Die Aufzüge,dɛːr aʊ̯ft͡sʊk
576,576,Birthday,Der Geburtstag,Die Geburtstage,dɛːr ɡɛːbuːrtstaːk
577,577,Lily,Die Lilie,Die Lilien,diː liːliː
578,578,Iron,Das Eisen,Die Eisen,daːs aɪ̯zɛːn
579,579,Meat,Das Fleisch,-,daːs flaɪ̯ʃ
580,580,Eyebrow,Die Augenbraue,Die Augenbrauen,diː aʊ̯ɡɛnbraʊ̯ə
581,581,Response,Die Antwort,Die Antworten,diː antvoːɐ̯t
582,582,Speed,Die Geschwindigkeit,Die Geschwindigkeiten,diː ɡɛʃvɪndɪɡkaɪ̯t
583,583,Purpose,Der Zweck,Die Zwecke,dɛːr t͡svɛːk
584,584,Skirt,Der Rock,Die Röcke,dɛːr roːk
585,585,Square,Das Quadrat,Die Quadrate,daːs kvaːdraːt
586,586,Drive,Die Fahrt,Die Fahrten,diː faːɐ̯t
587,587,Article,Der Artikel,Die Artikel,dɛːr aːrtikl̩
588,588,English,Das Englisch,-,daːs ɛŋlɪʃ
589,589,Tower,Der Turm,Die Türme,dɛːr tuːɐ̯m
590,590,Battle,Die Schlacht,Die Schlachten,diː ʃlaxt
591,591,Film,Der Film,Die Filme,dɛːr fɪlm
592,592,Race,Das Rennen,Die Rennen,daːs rɛnn̩
593,593,Shock,Der Schock,Die Schocks,dɛːr ʃoːk
594,594,Section,Die Sektion,Die Sektionen,diː zɛktiːoːn
595,595,Manner,Die Art,-,diː aːɐ̯t
596,596,Sword,Das Schwert,Die Schwerter,daːs ʃvɛːɐ̯t
597,597,Stick,Der Stock,Die Stöcke,dɛːr stoːk
598,598,File,Die Datei,Die Dateien,diː daːtaɪ̯
599,599,Bread,Das Brot,-,daːs broːt
600,600,Oil,Das Öl,-,daːs øːl
601,601,Chain,Die Kette,Die Ketten,diː kɛtə
602,602,Department,Die Abteilung,Die Abteilungen,diː abtaɪ̯lʊŋk
603,603,Project,Das Projekt,Die Projekte,daːs proːjɛkt
604,604,Murder,Der Mord,Die Morde,dɛːr moːɐ̯t
605,605,Bear,Der Bär,Die Bären,dɛːr bɛːɐ̯
606,606,Test,Der Test,Die Tests,dɛːr tɛst
607,607,Visit,Der Besuch,Die Besuche,dɛːr bɛːzʊx
608,608,Milk,Die Milch,-,diː milx
609,609,Boss,Der Chef,Die Chefs,dɛːr xɛːf
610,610,Elbow,Der Ellenbogen,Die Ellenbogen,dɛːr ɛlɛnboɡn̩
611,611,Desire,Das Verlangen,-,daːs fɛːrlaŋn̩
612,612,Patient,Der Patient,Die Patienten,dɛːr paːtint
613,613,Grin,Das Grinsen,-,daːs ɡrɪnzɛːn
614,614,Lover,Der Liebhaber,Die Liebhaber,dɛːr liːbhaːbɐ
615,615,Price,Der Preis,Die Preise,dɛːr praɪ̯s
616,616,Map,Die Karte,Die Karten,diː kaːrtə
617,617,Knowledge,Das Wissen,-,daːs vɪzɛːn
618,618,Beginning,Der Anfang,Die Anfänge,dɛːr anfaŋk
619,619,Cold,Die Kälte,-,diː kɛltə
620,620,Closet,Der Schrank,Die Schränke,dɛːr ʃraŋk
621,621,Dawn,Die Morgendämmerung,Die Morgendämmerungen,diː moːrɡɛndɛmɛːrʊŋk
622,622,Temple,Der Tempel,Die Tempel,dɛːr tɛmpl̩
623,623,Joy,Die Freude,-,diː frɔɪ̯də
624,624,Duty,Die Pflicht,Die Pflichten,diː p͡flɪçt
625,625,Practice,Die Übung,Die Übungen,diː yːbʊŋk
626,626,Heel,Der Absatz,Die Absätze,dɛːr abzaːt͡s
627,627,Valley,Das Tal,Die Täler,daːs taːl
628,628,Fight,Der Kampf,Die Kämpfe,dɛːr kamp͡f
629,629,Wire,Das Kabel,Die Kabel,daːs kabl̩
630,630,Jeans,Die Jeans,-,diː jɛːans
631,631,Kiss,Der Kuss,Die Küsse,dɛːr kʊs
632,632,Jaw,Der Kiefer,Die Kiefer,dɛːr kiːfɐ
633,633,Run,Der Lauf,Die Läufe,dɛːr laʊ̯f
634,634,Hold,Das Halten,Die Halten,daːs haltn̩
635,635,Relationship,Die Beziehung,Die Beziehungen,diː bɛːt͡siːʊŋk
636,636,Object,Das Objekt,Die Objekte,daːs ɔbjɛkt
637,637,Attack,Der Angriff,Die Angriffe,dɛːr aŋrɪf
638,638,Dish,Das Gericht,Die Gerichte,daːs ɡɛːrɪçt
639,639,Highway,Die Autobahn,Die Autobahnen,diː aʊ̯toːbaːn
640,640,Shade,Der Schatten,Die Schatten,dɛːr ʃatn̩
641,641,Crime,Das Verbrechen,Die Verbrechen,daːs fɛːrbrɛçn̩
642,642,White,Das Weiß,-,daːs vaɪ̯s
643,643,Partner,Der Partner,Die Partner,dɛːr paːrtnɐ
644,644,Priest,Der Priester,Die Priester,dɛːr pristɐ
645,645,Lawn,Der Rasen,Die Rasen,dɛːr raːzɛːn
646,646,Laugh,Das Lachen,-,daːs laxn̩
647,647,Trunk,Der Stamm,Die Stämme,dɛːr stam
648,648,Cry,Das Weinen,Die Weinen,daːs vaɪ̯nn̩
649,649,Program,Das Programm,Die Programme,daːs proːɡram
650,650,Ride,Die Fahrt,Die Fahrten,diː faːɐ̯t
651,651,Shelf,Das Regal,Die Regale,daːs rɛːɡaːl
652,652,Gentleman,Der Herr,Die Herren,dɛːr hɛr
653,653,Being,Das Wesen,Die Wesen,daːs vɛːzɛːn
654,654,Steel,Der Stahl,-,dɛːr staːl
655,655,Sidewalk,Der Bürgersteig,Die Bürgersteige,dɛːr byːrɡɛːrstaɪ̯k
656,656,Uniform,Die Uniform,Die Uniformen,diː uːniːfoːɐ̯m
657,657,Pattern,Das Muster,Die Muster,daːs mʊstɐ
658,658,Evidence,Der Beweis,Die Beweise,dɛːr bjuːaɪ̯s
659,659,Player,Der Spieler,Die Spieler,dɛːr spiːlɐ
660,660,Novel,Der Roman,Die Romane,dɛːr roːmaːn
661,661,Pillow,Das Kissen,Die Kissen,daːs kɪzɛːn
662,662,Lamp,Die Lampe,Die Lampen,diː lampə
663,663,Drawer,Die Schublade,Die Schubladen,diː ʃʊblaːdə
664,664,Danger,Die Gefahr,Die Gefahren,diː ɡɛːfaː
665,665,Detective,Der Detektiv,Die Detektive,dɛːr dɛːtɛktiːf
666,666,Instant,Der Augenblick,Die Augenblicke,dɛːr aʊ̯ɡɛnbliːk
667,667,Thinking,Das Denken,-,daːs dɛŋkn̩
668,668,Crack,Der Riss,Die Risse,dɛːr rɪs
669,669,Prayer,Das Gebet,Die Gebete,daːs ɡɛːbɛːt
670,670,Towel,Das Handtuch,Die Handtücher,daːs hantʊx
671,671,Glove,Der Handschuh,Die Handschuhe,dɛːr hand͡ʒuːh
672,672,Bay,Die Bucht,Die Buchten,diː bʊxt
673,673,Audience,Das Publikum,-,daːs pʊbliːkʊm
674,674,Can,Die Dose,Die Dosen,diː doːzə
675,675,Condition,Der Zustand,Die Zustände,dɛːr t͡sʊstant
676,676,Trail,Der Pfad,Die Pfade,dɛːr p͡faːt
677,677,Waist,Die Taille,Die Taillen,diː taɪ̯lə
678,678,Pressure,Der Druck,Die Drücke,dɛːr drʊk
679,679,Telephone,Das Telefon,Die Telefone,daːs tɛːlɛːfoːn
680,680,Sink,Das Waschbecken,Die Waschbecken,daːs vaʃbɛkn̩
681,681,Return,Die Rückkehr,Die Rückkehr,diː rʏkkeːɐ̯
682,682,Breeze,Die Brise,Die Brisen,diː briːzə
683,683,Taste,Der Geschmack,Die Geschmäcker,dɛːr ɡɛʃmaːk
684,684,Fault,Der Fehler,Die Fehler,dɛːr feːlɐ
685,685,Stream,Der Strom,Die Ströme,dɛːr stroːm
686,686,Result,Das Ergebnis,Die Ergebnisse,daːs ɛːrɡɛbniːs
687,687,Author,Der Autor,Die Autoren,dɛːr aʊ̯toːɐ̯
688,688,Tip,Der Tipp,Die Tipps,dɛːr tɪp
689,689,Shower,Die Dusche,Die Duschen,diː dʊʃə
690,690,Toe,Die Zehe,Die Zehen,diː t͡seːə
691,691,Season,Die Jahreszeit,Die Jahreszeiten,diː jaːrɛːst͡saɪ̯t
692,692,Half,Die Hälfte,Die Hälften,diː hɛlftə
693,693,Fool,Der Narr,Die Narren,dɛːr nar
694,694,Tunnel,Der Tunnel,Die Tunnel,dɛːr tʊnl̩
695,695,Client,Der Kunde,Die Kunden,dɛːr kʊndə
696,696,Garage,Die Garage,Die Garagen,diː ɡaːraːɡə
697,697,Mission,Die Mission,Die Missionen,diː mɪziːoːn
698,698,Chief,Der Chef,Die Chefs,dɛːr xɛːf
699,699,Bullet,Die Kugel,Die Kugeln,diː kuɡl̩
700,700,Market,Der Markt,Die Märkte,dɛːr maːrkt
701,701,Loss,Der Verlust,Die Verluste,dɛːr fɛːrlʊst
702,702,Series,Die Serie,Die Serien,diː zɛːriː
703,703,Pen,Der Stift,Die Stifte,dɛːr stɪft
704,704,Term,Der Begriff,Die Begriffe,dɛːr bɛːɡrɪf
705,705,Poem,Das Gedicht,Die Gedichte,daːs ɡɛːdɪçt
706,706,Prince,Der Prinz,Die Prinzen,dɛːr priːns
707,707,Clay,Der Ton,Die Tone,dɛːr toːn
708,708,Lock,Das Schloss,Die Schlösser,daːs ʃlɔs
709,709,Reality,Die Realität,Die Realitäten,diː rɛːaːliːtɛt
710,710,Snake,Die Schlange,Die Schlangen,diː ʃlaŋə
711,711,Apple,Der Apfel,Die Äpfel,dɛːr ap͡fɛːl
712,712,Mask,Die Maske,Die Masken,diː maskə
713,713,Customer,Der Kunde,Die Kunden,dɛːr kʊndə
714,714,Birth,Die Geburt,Die Geburten,diː ɡɛːbuːɐ̯t
715,715,Break,Die Pause,Die Pausen,diː paʊ̯zə
716,716,Wonder,Das Wunder,Die Wunder,daːs vʊndɐ
717,717,Sunlight,Das Sonnenlicht,-,daːs zɔnɛnlɪçt
718,718,Tank,Der Panzer,Die Panzer,dɛːr paːnt͡sɐ
719,719,Staff,Das Personal,-,daːs pɛːrzoːnaːl
720,720,Lie,Die Lüge,Die Lügen,diː lyːɡə
721,721,Faith,Der Glaube,-,dɛːr ɡlaʊ̯bə
722,722,Honor,Die Ehre,-,diː eːrə
723,723,Cream,Die Sahne,-,diː zaːnə
724,724,Sake,Der Grund,-,dɛːr ɡrʊnt
725,725,Victim,Das Opfer,Die Opfer,daːs ɔp͡fɐ
726,726,Possibility,Die Möglichkeit,Die Möglichkeiten,diː mœɡlɪçkaɪ̯t
727,727,Contact,Der Kontakt,Die Kontakte,dɛːr kɔntakt
728,728,Mood,Die Stimmung,Die Stimmungen,diː stɪmʊŋk
729,729,Thumb,Der Daumen,Die Daumen,dɛːr daʊ̯mn̩
730,730,Reading,Das Lesen,-,daːs lɛːzɛːn
731,731,Fun,Der Spaß,-,dɛːr spaːs
732,732,Candle,Die Kerze,Die Kerzen,diː kɛːrt͡sə
733,733,Cave,Die Höhle,Die Höhlen,diː høːlə
734,734,Post,Die Post,-,diː pɔst
735,735,Prison,Das Gefängnis,Die Gefängnisse,daːs ɡɛːfɛnnjiːs
736,736,Emotion,Die Emotion,Die Emotionen,diː ɛːmoːtiːoːn
737,737,Leader,Der Führer,Die Führer,dɛːr fyːrɐ
738,738,Degree,Der Abschluss,Die Abschlüsse,dɛːr abʃlʊs
739,739,Feature,Das Merkmal,Die Merkmale,daːs mɛːrkmaːl
740,740,Ticket,Die Eintrittskarte,Die Eintrittskarten,diː aɪ̯ntrɪtskaːrtə
741,741,Alien,Das Alien,Die Aliens,daːs aːliːn
742,742,Lesson,Die Lektion,Die Lektionen,diː lɛktiːoːn
743,743,Desert,Die Wüste,Die Wüsten,diː vʏstə
744,744,Cut,Der Schnitt,Die Schnitte,dɛːr ʃnɪt
745,745,Mess,Das Durcheinander,-,daːs duːrxaɪ̯nandɐ
746,746,Warning,Die Warnung,Die Warnungen,diː vaːrnʊŋk
747,747,Tale,Das Märchen,Die Märchen,daːs mɛːrxən
748,748,Funeral,Die Beerdigung,Die Beerdigungen,diː beːrdɪɡŋk
749,749,Cab,Das Taxi,Die Taxis,daːs taksiː
750,750,Reporter,Der Reporter,Die Reporter,dɛːr rɛːpoːrtɐ
751,751,Present,Das Geschenk,Die Geschenke,daːs ɡɛʃɛŋk
752,752,Theater,Das Theater,Die Theater,daːs tɛːaːtɐ
753,753,Length,Die Länge,-,diː lɛŋə
754,754,Mud,Der Schlamm,-,dɛːr ʃlam
755,755,Science,Die Wissenschaft,-,diː vɪzɛnʃaft
756,756,Drop,Der Tropfen,Die Tropfen,dɛːr trɔp͡fɛːn
757,757,String,Die Schnur,Die Schnüre,diː ʃnuːɐ̯
758,758,Speech,Die Rede,Die Reden,diː rɛːdə
759,759,Copy,Das Exemplar,Die Exemplare,daːs ɛksɛmplaː
760,760,Cow,Die Kuh,Die Kühe,diː kuːh
761,761,Worker,Der Arbeiter,Die Arbeiter,dɛːr aːrbaɪ̯tɐ
762,762,Thigh,Der Oberschenkel,Die Oberschenkel,dɛːr oːbɛːrʃɛŋkl̩
763,763,Lab,Das Labor,Die Labore,daːs laːboːɐ̯
764,764,Roll,Die Rolle,Die Rollen,diː rɔlə
765,765,Fruit,Die Frucht,Die Früchte,diː frʊxt
766,766,Patch,Das Patch,Die Patches,daːs paːt͡ʃ
767,767,Silk,Die Seide,-,diː zaɪ̯də
768,768,Buck,Der Dollar,Die Dollars,dɛːr dɔlaː
769,769,Brick,Der Ziegel,Die Ziegel,dɛːr t͡siɡl̩
770,770,Rifle,Das Gewehr,Die Gewehre,daːs ɡjuːeːɐ̯
771,771,Career,Die Karriere,Die Karrieren,diː kariːrə
772,772,Issue,Die Ausgabe,Die Ausgaben,diː aʊ̯sɡaːbə
773,773,Opportunity,Die Gelegenheit,Die Gelegenheiten,diː ɡɛːlɛːɡɛːnhaɪ̯t
774,774,Director,Der Regisseur,Die Regisseure,dɛːr rɛːɡɪzɔɪ̯ɐ
775,775,Monster,Das Monster,Die Monster,daːs mɔnstɐ
776,776,Vehicle,Das Fahrzeug,Die Fahrzeuge,daːs faːrt͡sɔɪ̯k
777,777,Alley,Die Gasse,Die Gassen,diː ɡazə
778,778,Sleeve,Der Ärmel,Die Ärmel,dɛːr ɛːrməl
779,779,Grave,Das Grab,Die Gräber,daːs ɡraːp
780,780,Bush,Der Busch,Die Büsche,dɛːr bʊʃ
781,781,Dining,Das Esszimmer,-,daːs ɛst͡sɪmɐ
782,782,Opening,Die Öffnung,Die Öffnungen,diː œfnʊŋk
783,783,Twin,Das Zwilling,Die Zwillinge,daːs t͡svɪlɪŋk
784,784,Barn,Die Scheune,Die Scheunen,diː ʃɔɪ̯nə
785,785,Pound,Das Pfund,Die Pfunde,daːs p͡fʊnt
786,786,Site,Die Seite,Die Seiten,diː zaɪ̯tə
787,787,Flash,Der Blitz,Die Blitze,dɛːr bliːt͡s
788,788,Judge,Der Richter,Die Richter,dɛːr rɪçtɐ
789,789,Mass,Die Masse,Die Massen,diː mazə
790,790,Process,Der Prozess,Die Prozesse,dɛːr proːt͡sɛs
791,791,Tie,Die Krawatte,Die Krawatten,diː kraːvatə
792,792,Purse,Die Geldbörse,Die Geldbörsen,diː ɡɛldbøːrzə
793,793,Pipe,Die Pfeife,Die Pfeifen,diː p͡faɪ̯fə
794,794,Dragon,Der Drache,Die Drachen,dɛːr draxə
795,795,Horizon,Der Horizont,Die Horizonte,dɛːr hoːriːt͡sɔnt
796,796,Tray,Das Tablett,Die Tabletts,daːs tablɛt
797,797,Envelope,Der Umschlag,Die Umschläge,dɛːr umʃlaːk
798,798,Check,Der Scheck,Die Schecks,dɛːr ʃɛːk
799,799,Adult,Der Erwachsene,Die Erwachsenen,dɛːr ɛːrvakzɛːnə
800,800,Emergency,Der Notfall,Die Notfälle,dɛːr nɔtfal
801,801,Material,Das Material,Die Materialien,daːs maːtɛːriːaːl
802,802,Childhood,Die Kindheit,-,diː kɪndhaɪ̯t
803,803,Habit,Die Gewohnheit,Die Gewohnheiten,diː ɡjuːoːnhaɪ̯t
804,804,Artist,Der Künstler,Die Künstler,dɛːr kʏnstlɐ
805,805,Address,Die Adresse,Die Adressen,diː aːdrɛzə
806,806,Scent,Der Duft,Die Düfte,dɛːr dʊft
807,807,Universe,Das Universum,Die Universen,daːs uːniːfrzʊm
808,808,Nod,Das Nicken,-,daːs nikn̩
809,809,Shell,Die Muschel,Die Muscheln,diː mʊʃɛːl
810,810,Community,Die Gemeinschaft,Die Gemeinschaften,diː ɡɛːmaɪ̯nʃaft
811,811,Start,Der Start,Die Starts,dɛːr staːɐ̯t
812,812,Wound,Die Wunde,Die Wunden,diː vʊndə
813,813,Mouse,Die Maus,Die Mäuse,diː maʊ̯s
814,814,Pilot,Der Pilot,Die Piloten,dɛːr piːloːt
815,815,Grade,Die Note,Die Noten,diː noːtə
816,816,Video,Das Video,Die Videos,daːs fiːdɛːoː
817,817,Basket,Der Korb,Die Körbe,dɛːr koːɐ̯p
818,818,Wagon,Der Waggon,Die Waggons,dɛːr vaɡoːn
819,819,Attempt,Der Versuch,Die Versuche,dɛːr fɛːrzʊx
820,820,Sofa,Das Sofa,Die Sofas,daːs zoːfaː
821,821,Cake,Der Kuchen,Die Kuchen,dɛːr kʊxn̩
822,822,Fellow,Der Kerl,Die Kerle,dɛːr kɛːɐ̯l
823,823,Affair,Die Angelegenheit,Die Angelegenheiten,diː aŋɛːlɛːɡɛːnhaɪ̯t
